amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
111-8128982-0737041	111-8128982-0737041	2025-03-06T17:18:54+00:00	2025-03-07T03:37:29+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Vintage Oriental Farmhouse Dining Room Rugs	G24267-5-Green-5x7-US-V1	B0DBVNT5V3	Shipped	1	USD	53.99	3.24	2.99					2.99	VIRGINIA BEACH	VA	23456-8311	US		false			false
112-2154126-2349864	112-2154126-2349864	2025-03-06T16:27:57+00:00	2025-03-08T00:32:27+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Abstract Washable Rugs for Bedroom Non-Slip Orange Stain Resistant Dining Room Rug Rainbow Low-Pile Carpet	N1338-1-Orange-6x9-US-V1	B0DBZ5DYF4	Shipped	1	USD	119.99	7.8					40.0		HENDERSONVILLE	TN	37075-5672	US	PLM-32cd2d9b-2c01-4d28-b851-62d1041dd6a1	false			false
111-1704274-4364209	111-1704274-4364209	2025-03-06T15:36:49+00:00	2025-03-07T16:43:36+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedr	N1338-3-Sage Green-3x5-US-V1	B0DBYMRB1C	Shipped	1	USD	38.99	1.86					7.8		HALLSVILLE	MO	65255-9724	US	PLM-478af82e-3608-43d4-b17c-17d5ef409f54	false			false
112-9598293-5010625	112-9598293-5010625	2025-03-06T15:02:53+00:00	2025-03-08T08:53:59+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Vintage Oriental Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Be	G24267-5-Green-3x5-US-V1	B0DBVPWW8F	Shipped	2	USD	77.98	5.46							LEESBURG	FL	34788-2917	US		false			false
113-1845780-1282618	113-1845780-1282618	2025-03-06T14:59:21+00:00	2025-03-06T23:33:52+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant	N1338-3-Sage Green-8x10-US-V1	B0DBZGL9YS	Shipped	1	USD	159.99	7.2					40.0		WYOMING	MI	49509-2717	US	PLM-32cd2d9b-2c01-4d28-b851-62d1041dd6a1	false			false
112-5862156-7810665	112-5862156-7810665	2025-03-06T13:50:00+00:00	2025-03-06T20:36:06+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Vintage Oriental Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Be	G24267-5-Green-3x5-US-V1	B0DBVPWW8F	Shipped	1	USD	38.99	1.32	1.49				7.8	1.49	High Ridge	MO	63049	US	PLM-478af82e-3608-43d4-b17c-17d5ef409f54	false			false
114-6779356-0613015	114-6779356-0613015	2025-03-06T13:27:23+00:00	2025-03-06T20:58:40+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Area Rugs 9x12 Living Room - Large Washable Beige Boho Rugs for Bedroom Soft Abstract Rug Ultra-Thin Modern Geometric Carpet Stain Resistant Ru	G24136-7-Beige-9x12-US-V1	B0DBZ767W8	Shipped	1	USD	109.99	9.76							NEW YORK	NY	10003-2802	US		false			false
111-6526177-8997020	111-6526177-8997020	2025-03-06T13:27:08+00:00	2025-03-07T04:45:02+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug - Large Modern Abstract Washable Non-Slip Sage Green Stain Resistant Living Room Rug Rainbow Low-Pile Soft Floor Carpet for Bedroo	N1338-3-Sage Green-6x9-US-V1	B0DBYT5KQ7	Shipped	1	USD	119.99	7.2							WATERFORD	MI	48328-3445	US		false			false
113-7082306-0842653	113-7082306-0842653	2025-03-06T11:35:48+00:00	2025-03-06T22:28:22+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Area Rugs 9x12 Living Room - Large Washable Charcoal Black Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Traditional Floral Carpet Stain Re	G24268-7-Black-9x12-US-V1	B0DBYYXW44	Shipped	1	USD	199.99	14.0							HUNTINGBURG	IN	47542-1442	US		false			false
113-9775349-6932218	113-9775349-6932218	2025-03-06T08:52:21+00:00	2025-03-06T08:56:12+00:00	Cancelled	Amazon	Amazon.com			Standard	LUXRUG Area Rugs 9x12 Living Room - Large Washable Charcoal Black Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Traditional Floral Carpet Stain Re	G24268-7-Black-9x12-US-V1	B0DBYYXW44	Cancelled	0										LODI	CA	95240-5330	US		false			false
111-8955294-0702628	111-8955294-0702628	2025-03-06T07:16:23+00:00	2025-03-07T09:39:20+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 5x7 - Traditional Floral Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Charcoal Black Vintage Dining Room Rugs	G24268-7-Black-5x7-US-V1	B0DBZB9JY5	Shipped	1	USD	69.99	4.07					17.5		ORANGE	CA	92867-4410	US	PLM-323ee5ec-7cbd-4e1d-ad3d-346fc9c1b3ae	false			false
113-2265454-1856237	113-2265454-1856237	2025-03-06T06:18:36+00:00	2025-03-07T04:30:50+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Abstract Washable Rugs for Bedroom Non-Slip Orange Stain Resistant Dining Room Rug Rainbow Low-Pile Carpet	N1338-1-Orange-6x9-US-V1	B0DBZ5DYF4	Shipped	1	USD	119.99	8.4					40.0		BOTHELL	WA	98012-6380	US	PLM-32cd2d9b-2c01-4d28-b851-62d1041dd6a1	false			false
